toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderrtot,pl_orbper,pl_orbpererrtot,pl_trandurh,pl_trandurherrtot,pl_trandep,pl_trandeperrtot,pl_rade,pl_radeerrtot,pl_insol,pl_insolerrtot,pl_eqt,pl_eqterrtot,st_tmag,st_tmagerrtot,st_dist,st_disterrtot,st_teff,st_tefferrtot,st_logg,st_loggerrtot,st_rad,st_raderrtot
1031.01,304021498,FP,2459304.838,0.005704,5.652623,0.0000508,3.434,0.95,1250,52.0266,8.94354,2.27976,2717.06,0,2011,0,9.7318,0.012,270.771,3.255,6415.4,206.4,3.98,0.16,1.92,0.16
1032.01,146589986,PC,2459283.829,0.001794,5.6643704,0.0000218,3.8087395,0.177587,3491.823297,190.50534,14.7738943,1.4942352,7657.662151,0,2385.853649,0,9.7611,0.012,587.196,37.573,10395,641.2,4.13,0.14,2.3383701,0.218714
1033.01,149601557,FP,2460195.101,0.005642,29.0160175,0.0001294,5.345,0.628,1389,72.0652,6.77406,0,33.2234,0,,0,10.0163,0.012,219.94,0,6113.1,0,,0,2.01,0
1034.01,400595342,FP,2460768.617,0.005234,3.6404389,0.0000164,2.5339234,1.1489398,476.3077321,70.2230278,3.7025342,0.3477814,9941.226551,0,2783.098027,0,9.8174,0.012,363.44,9.966,9810,347.4,4.43,0.12,1.60776,0.0855478
1035.01,361413119,PC,2459286.873,0.000874,6.0744477,0.0000118,2.4954821,0.1037762,5982.521241,187.87824,30.9493217,23.394888,1487.564434,0,1583.93989,0,10.1126,0.012,347.556,27.26,5964,256.8,3.7,0.18,2.4303801,0.303136
1036.01,146172354,PC,2460037.172,0.00219,3.7795212,0.000008,2.952,0.316,2761,120.4948,5.98375,0.623794,466.528,0,1294,0,10.2855,0.012,184.015,1.924,5771,264.6,4.31,0.16,1.18,0.12
1037.01,363260203,FP,2459331.125,0.006348,1.2025238,0.0000134,1.991,0.104,390,215.14,6.31106,3.99008,208477,0,5952,0,9.0211,0.012,279.698,6.558,9158,342.8,4.32,0.14,1.74,0.1
1038.01,90544017,FP,2459273.372,0.00405,3.2235985,0.0000276,2.159,0.904,680,2.26,5.51341,0,2064.8,0,,0,8.7157,0.012,280.765,0,8904,479.8,4.09,2.72,2.17,0
1039.01,461867584,APC,2460031.217,0.00142,4.420125,0.000017,3.956,2.518,2466,392.6,,0,,0,,0,8.5483,1.2,2864.34,2025.08,,0,,0,,0
104.01,231670397,KP,2460150.609,0.001364,4.0872956,0.0000046,5.586113,0.101751,3572.17125,71.378852,13.6237732,1.3036466,2242.36054,0,1755.076738,0,9.8638,0.012,316.678,5.931,6036,0,3.93359,0,2.2186699,0.205146
1040.01,310483807,FP,2458520.657,0.00994,2.55555,0.0009,1.566,0.75,340,2.74448,11.5901,0,3520.68,0,2145,0,8.3854,0.014,732.432,64.898,10037,246,,0,6.04,0
1041.01,385624852,FP,2459261.801,0.0008,8.30792,0.00074,3.228,0.178,8350,320.476,43.1068,8.84798,2276.25,0,1924,0,8.0981,0.012,305.034,5.962,9081,346.4,3.83,0.14,3.05,0.18
1042.01,360286627,PC,2459281.338,0.002574,0.758082,0.0000146,1.8184632,0.2612076,583.93181,116.20498,10.1273702,1.3316424,216218.1005,0,5499.747633,0,9.718,0.012,792.633,38.993,9917,399.2,3.75,0.12,3.5086601,0.240242
1043.01,90448944,FP,2459985.77,0.00749,1.4415577,0.0000148,2.349,1.364,507,109.929,3.61078,0.52008,16861.8,0,3174,0,9.5719,0.012,208.055,2.203,6902,271.4,4.25,0.18,1.52,0.12
1044.01,463402815,PC,2460037.195,0.001586,1.0085089,0.0000018,1.642,0.686,3051,1377.862,,0,,0,,0,10.0031,0.012,494.689,19.114,5215.2,2333.6,,0,,0
1045.01,54044474,FP,2459301.544,0.001222,3.7039994,0.0000074,4.277,1.198,7590,2.44184,17.57,1.493146,3546.13,0,2149,0,9.6306,0.012,300.696,6.739,7013.8,599.2,4.21,0.88,1.9,0.16
1046.01,309787037,FP,2460177.867,0.002246,1.3042553,0.000004,1.706,0.426,914,1257.908,9.36472,2.61294,26944.7,0,3569,0,10.0119,0.012,301.298,4.992,6762,260.4,4.11,0.16,1.75,0.14
1047.01,370745311,FP,2458544.791,0.00184,0.62627,0.00004,0.666,0.338,1880,137.0424,5.72162,1.788924,3235.57,0,2101,0,10.2355,0.012,134.926,2.111,5622,262.4,4.5,0.14,0.93,0.1
1048.01,384549882,FP,2458518.376,0.0015,0.30412,0.00002,0.748,0.2,1330,7.66214,10.417,1.336114,280833,0,6413,0,8.802,0.012,440.426,18.968,11892,471.6,4.14,0.14,2.52,0.18
1049.01,16288184,KP,2459363.821,0.001398,2.1805277,0.0000054,2.969175,0.081442,16340.13532,853.79114,16.808853,1.764275,1770.465054,0,1654.404068,0,11.0657,0.012,314.995,14.131,6599,400,4.21017,3.92822,1.2714601,0.1271156
105.01,144065872,KP,2459084.585,0.00022,2.1846669,0.000001,2.86528,0.0181496,11708.02285,69.857132,13.7028527,1.3239502,1362.138143,0,1549.44098,0,9.4995,0.012,137.544,1.581,5630,0,4.37759,0,1.23824,0.119397
1050.01,66818296,KP,2459355.546,0.000514,3.7354838,0.0000042,4.142,0.09,17030,0.543464,21.2315,2.39158,1292.19,0,1670,0,11.0261,0.012,405.908,17.2,6650,0,4.1639,0,1.57,0.18
1051.01,259863352,FA,2458657.737,0.01485,21.701669,0.0190646,8.2676424,1.0177956,211.6567325,50.265384,2.3751494,1.3966902,52.095,0,685.2,0,7.1278,0.012,53.19149,0,5625,160,4.438,0,1.56486,0.373258
1052.01,317060587,CP,2458332.941,0.005284,9.139804,0.0002218,3.0912936,1.3254004,358.4157801,67.442948,3.0629855,5.635151,243.011763,0,1006.993283,0,9.0197,0.012,129.804,1.115,5958.2,152,4.34,0.24,1.58,0.330246
1053.01,112395568,FP,2458657.999,0.003106,5.742625,0.001242,2.860293,0.460998,1105.760867,175.85346,13.088532,7.273336,,0,,0,8.8849,0.012,263.729,5.747,5664,376,3.26574,0.710522,3.86959,1.289136
1054.01,366989877,CP,2460122.7,0.039896,15.5077855,0.0004744,4.565,0.854,513,50.8886,2.43432,0.285914,88.0718,0,853,0,8.4362,0.012,88.4343,0.5635,6122,388,4.30881,0.53711,1.17,0.1
1055.01,320004517,CP,2458661.063,0.001734,17.4713078,0.0000352,4.4284819,0.1980236,1199.754148,57.745254,3.5766828,0.4819814,53.3700317,0,689.3568807,0,8.0888,0.012,57.2651,0.3739,5783.54,15.64858,4.49925,0.038462,0.974669,0.1093968
1056.01,421894914,PC,2458326.062,0.003994,5.3079507,0.0000382,3.2158594,0.5841888,391.3830934,53.532592,3.0486928,0.7260718,603.2401116,0,1263.986113,0,9.6663,0.012,168.354,1.353,6124.3,166,4.38,0.32,1.36963,0.1267336
1057.01,323132914,PC,2458607.351,0.00616,51.1701501,0.0003924,6.6641048,0.5754374,851.4547808,72.243752,2.9366826,0.5315,11.2148229,0,466.7322968,0,9.4091,0.012,98.2855,0.5345,5599,374,4.46138,0.53996,0.943356,0.0913166
1058.01,31553893,PC,2458663.023,0.009126,11.1296441,0.0001206,7.0473822,0.6220238,951.6169809,121.422004,12.8402271,1.6324002,1255.681716,0,1518.237249,0,9.3781,0.014,338.831,13.41,5785,378,4.344,4.00712,3.4475601,0.348834
1059.01,380783252,PC,2460106.338,0.000764,9.4496506,0.0000056,2.021,0.054,19750,33.5326,17.0216,2.20498,38.5799,0,694,0,9.7825,0.012,98.8783,0.8394,5509,372,4.39758,4.00816,0.94,0.12
106.01,38846515,KP,2460201.639,0.000254,2.8493825,0.0000006,3.567,0.106,8049,50.0464,16.3869,1.469408,2005.83,0,1864,0,10.3157,0.012,364.411,5.458,6900,0,4.438,0,1.77,0.16
1060.01,101230735,APC,2460149.536,0.00399,2.0685633,0.000008,0.373,0.13,502,338.404,3.89739,0.834612,24.409,0,619,0,9.6652,0.012,128.491,6.749,5687.9,152,4.6,0.24,1.14,0.14
1061.01,253990973,FP,2458654.253,0.006156,0.540933,0.000214,1.674337,0.659514,257.347459,55.282428,2.28501,1.14646,,0,,0,9.7345,0.012,133.171,1.387,5525,372,4.25342,0.59334,1.21935,0.32916
1062.01,299799658,CP,2460177.2,0.002664,4.1150576,0.0000112,1.08,0.646,487,101.7096,2.30057,0.33666,77.3573,0,826,0,9.478,0.012,82.1733,0.3264,5394,370,4.50942,0.552154,0.89,0.1
